[2026-03-28T01:01:05.308Z] GET http://localhost:5173/src/components/ui/WxCheckbox.vue → 200 (28ms, 8182B)
[2026-03-28T01:01:05.308Z] GET http://localhost:5173/src/components/ui/WxSlider.vue → 200 (27ms, 8770B)
[2026-03-28T01:01:05.308Z] GET http://localhost:5173/src/components/ui/WxCard.vue → 200 (28ms, 4316B)
[2026-03-28T01:01:05.316Z] GET http://localhost:5173/src/components/layout/WxSideNav.vue?vue&type=style&index=0&scoped=f1976a2d&lang.css → 200 (19ms, 1113B)
[2026-03-28T01:01:05.317Z] GET http://localhost:5173/src/components/layout/WxThemeToggle.vue?vue&type=style&index=0&scoped=0923dcd7&lang.css → 200 (18ms, 960B)
[2026-03-28T01:01:05.322Z] GET http://localhost:5173/src/components/layout/WxNotificationDropdown.vue?vue&type=style&index=0&scoped=6a5c3ddf&lang.css → 200 (13ms, 904B)
[2026-03-28T01:01:05.322Z] GET http://localhost:5173/src/components/layout/WxMessageDropdown.vue?vue&type=style&index=0&scoped=9df425b8&lang.css → 200 (14ms, 894B)
[2026-03-28T01:01:05.323Z] GET http://localhost:5173/src/components/layout/WxUserMenu.vue?vue&type=style&index=0&scoped=a290fe4a&lang.css → 200 (13ms, 880B)
[2026-03-28T01:01:05.333Z] GET http://localhost:5173/src/components/layout/WxRightSidePanel.vue?vue&type=style&index=0&scoped=f37436f0&lang.css → 200 (3ms, 1047B)
[2026-03-28T01:01:22.039Z] GET http://localhost:5173/ui/modals → 200 (4ms, ?B)
[2026-03-28T01:01:22.047Z] GET http://localhost:5173/@vite/client → 304 (3ms, ?B)
[2026-03-28T01:01:22.050Z] GET https://fonts.googleapis.com/css2?family=Inter:wght@300;400;500;600;700;800;900&family=JetBrains+Mono:wght@400;500;600;700&display=swap → 200 (?ms, ?B)
[2026-03-28T01:01:22.050Z] GET http://localhost:5173/src/main.ts?t=1774658764060 → 304 (1ms, ?B)
[2026-03-28T01:01:22.052Z] GET http://localhost:5173/node_modules/vite/dist/client/env.mjs → 304 (4ms, ?B)
[2026-03-28T01:01:22.054Z] GET http://localhost:5173/node_modules/.vite/deps/vue.js?v=43e7f08c → 200 (1ms, ?B)
[2026-03-28T01:01:22.056Z] GET http://localhost:5173/node_modules/.vite/deps/pinia.js?v=43e7f08c → 200 (?ms, ?B)
[2026-03-28T01:01:22.056Z] GET http://localhost:5173/src/App.vue → 304 (1ms, ?B)
[2026-03-28T01:01:22.056Z] GET http://localhost:5173/src/router/index.ts?t=1774658764060 → 304 (3ms, ?B)
[2026-03-28T01:01:22.056Z] GET http://localhost:5173/src/assets/styles/tokens.css?t=1774658764060 → 304 (3ms, ?B)
